Date,Team,Acquired,Relinquished,Notes
2002-10-31,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-01,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-11-01,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-01,Grizzlies,, Stromile Swift,flu (DNP)
2002-11-01,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-01,Knicks,, Michael Doleac,strained left hamstring (DNP)
2002-11-01,Magic,, Horace Grant,sore left knee (DNP)
2002-11-01,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-01,Rockets,, Glen Rice Sr.,strained right knee (DNP)
2002-11-01,Rockets,, Kenny Thomas,fractured right thumb (DNP)
2002-11-01,Sonics,, Kenny Anderson,back spasms (DNP)
2002-11-01,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-11-01,Timberwolves,, Wally Szczerbiak,left foot injury (DNP)
2002-11-02,Grizzlies,, Michael Dickerson,DNP
2002-11-02,Heat,, Anthony Carter,strep throat (DNP)
2002-11-02,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-02,Kings,, Chris Webber,lower abdominal strain (DNP)
2002-11-02,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-02,Kings,, Scot Pollard,strained lower back (DNP)
2002-11-02,Knicks,, Michael Doleac,strained left hamstring (DNP)
2002-11-02,Magic,, Horace Grant,sore left knee (DNP)
2002-11-02,Nuggets,, Juwan Howard,stomach virus (DNP)
2002-11-02,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-02,Rockets,, Glen Rice Sr.,strained right knee (DNP)
2002-11-02,Timberwolves,, Wally Szczerbiak,dislocated fifth metatarsal on left foot (DNP)
2002-11-03,Heat,, Anthony Carter,strep throat (DNP)
2002-11-03,Kings,, Chris Webber,lower abdominal strain (DNP)
2002-11-03,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-03,Kings,, Scot Pollard,strained lower back (DNP)
2002-11-04,Knicks,, Michael Doleac,strained left hamstring (DNP)
2002-11-04,Mavericks,, Raef LaFrentz,sprained right ankle (out 3-6 weeks)
2002-11-04,Mavericks,, Raef LaFrentz,sprained right ankle (DNP)
2002-11-04,Raptors,, Antonio Davis,sprained left rib muscle (DNP)
2002-11-04,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-04,Raptors,, Vince Carter,left quadriceps injury (DNP)
2002-11-04,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-11-04,Timberwolves,, Wally Szczerbiak,dislocated fifth metatarsal on left foot (DNP)
2002-11-05,Heat,, Anthony Carter,strep throat (DNP)
2002-11-05,Kings,, Hidayet Turkoglu / Hedo Turkoglu,food poisoning (DNP)
2002-11-05,Kings,, Scot Pollard,strained lower back (DNP)
2002-11-05,Kings,, Vlade Divac,strained lower back (DNP)
2002-11-05,Magic,, Horace Grant,sore left knee (DNP)
2002-11-05,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-11-05,Timberwolves,, Wally Szczerbiak,dislocated fifth metatarsal on left foot (DNP)
2002-11-06,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-11-06,Blazers,, Arvydas Sabonis,sore right hamstring (DNP)
2002-11-06,Blazers,, Bonzi Wells,sore right foot (DNP)
2002-11-06,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-06,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-06,Jazz,, Karl Malone,cold (DNP)
2002-11-06,Kings,, Keon Clark,strained groin (DNP)
2002-11-06,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-06,Knicks,, Michael Doleac,strained left hamstring (DNP)
2002-11-06,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-06,Mavericks,, Raef LaFrentz,sprained right ankle (DNP)
2002-11-06,Raptors,, Antonio Davis,sprained left rib muscle (DNP)
2002-11-06,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-06,Raptors,, Vince Carter,left quadriceps injury (DNP)
2002-11-08,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-11-08,Blazers,, Arvydas Sabonis,strained right hamstring (DNP)
2002-11-08,Blazers,, Derek Anderson,concussion (DNP)
2002-11-08,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-08,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-08,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-08,Kings,, Scot Pollard,stress fracture in lower back (out 4-6 weeks)
2002-11-08,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-08,Knicks,, Michael Doleac,strained left hamstring (DNP)
2002-11-08,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-08,Mavericks,, Raef LaFrentz,sprained right ankle (DNP)
2002-11-08,Raptors,, Vince Carter,strained left quadriceps tendon (out 4-6 weeks)
2002-11-08,Sonics,, Jerome James,plantar fasciatis in right foot (DNP)
2002-11-09,Blazers,, Derek Anderson,concussion (DNP)
2002-11-09,Cavaliers,, Chris Mihm,sore left hamstring (DNP)
2002-11-09,Heat,, Travis Best,sprained right ankle (DNP)
2002-11-09,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-09,Mavericks,, Ronald Jones / Popeye Jones,back spasms
2002-11-09,Mavericks,, Ronald Jones / Popeye Jones,back spasms (DNP)
2002-11-09,Raptors,, Antonio Davis,sprained left rib muscle (DNP)
2002-11-09,Raptors,, Jelani McCoy,strained lower back (DNP)
2002-11-09,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-09,Raptors,, Vince Carter,strained left quadriceps tendon (DNP)
2002-11-09,Sonics,, Jerome James,plantar fasciatis in right foot (DNP)
2002-11-09,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-11-09,Timberwolves,, Wally Szczerbiak,sprained left knee (DNP)
2002-11-10,Clippers,, Quentin Richardson,bruised right knee (DNP)
2002-11-10,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-10,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-10,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-10,Knicks,, Charlie Ward,bruised right lower leg (DNP)
2002-11-11,Blazers,, Derek Anderson,concussion (DNP)
2002-11-11,Grizzlies,, Brevin Knight,sprained right ankle (DNP)
2002-11-11,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-11,Mavericks,, Nick Van Exel,arthroscopic surgery on right knee to repair damaged cartilage (out 3-6 weeks)
2002-11-11,Mavericks,, Ronald Jones / Popeye Jones,back spasms (DNP)
2002-11-11,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-11-11,Timberwolves,, Wally Szczerbiak,sprained left knee (DNP)
2002-11-12,Blazers,, Derek Anderson,concussion (DNP)
2002-11-12,Heat,, Sean Marks,plantar fasciatis (DNP)
2002-11-12,Heat,, Travis Best,sprained right ankle (DNP)
2002-11-12,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-12,Knicks,, Charlie Ward,strained right lower leg (DNP)
2002-11-12,Lakers,, Devean George,sprained right ankle (DNP)
2002-11-12,Raptors,, Antonio Davis,sprained left rib muscle (DNP)
2002-11-12,Raptors,, Jelani McCoy,sore lower back (DNP)
2002-11-12,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-12,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-11-12,Sonics,, Jerome James,plantar fasciatis in right foot (DNP)
2002-11-12,Sonics,, Kenny Anderson,back spasms (DNP)
2002-11-13,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-11-13,Bucks,, Jason Caffey,sore back (DNP)
2002-11-13,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-13,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-13,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-13,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-13,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-13,Mavericks,, Ronald Jones / Popeye Jones,back spasms (DNP)
2002-11-13,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-11-14,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-11-14,Heat,, Sean Marks,surgery on left foot (out 4-6 weeks)
2002-11-14,Magic,, Mike Miller,sprained left ankle (DNP)
2002-11-14,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-11-15,Grizzlies,, Brevin Knight,sprained right ankle (DNP)
2002-11-15,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-15,Jazz,, Andrei Kirilenko,strained lower back (DNP)
2002-11-15,Jazz,, Jarron Collins,sprained left ankle (DNP)
2002-11-15,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-15,Kings,, Predrag Stojakovic / Peja Stojakovic,plantar fasciatis (DNP)
2002-11-15,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-15,Lakers,, Devean George,sprained right ankle (DNP)
2002-11-15,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-15,Mavericks,, Ronald Jones / Popeye Jones,back spasms (DNP)
2002-11-15,Raptors,, Mamadou N'diaye,stress fracture in right heel (out 4 weeks)
2002-11-15,Raptors,, Mamadou N'diaye,stress fracture in right heel (DNP)
2002-11-15,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-15,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-11-15,Sonics,, Jerome James,stress fracture in right foot (out 4-6 weeks)
2002-11-15,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-15,Sonics,, Kenny Anderson,back spasms (DNP)
2002-11-16,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-11-16,Cavaliers,, Chris Mihm,sprained left hamstring (DNP)
2002-11-16,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-16,Knicks,, Charlie Ward,right lower leg injury (DNP)
2002-11-16,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-16,Mavericks,, Ronald Jones / Popeye Jones,back spasms (DNP)
2002-11-16,Nuggets,, Rodney White,sprained left ankle (DNP)
2002-11-17,Jazz,, Andrei Kirilenko,strained lower back (DNP)
2002-11-17,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-17,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-17,Lakers,, Devean George,right ankle tendinitis (DNP)
2002-11-17,Magic,, Grant Hill,ankle injury (DNP)
2002-11-17,Raptors,, Mamadou N'diaye,stress fracture in right knee (DNP)
2002-11-17,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-17,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-11-17,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-17,Sonics,, Kenny Anderson,back spasms (DNP)
2002-11-18,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-18,Celtics,, Kedrick Brown,hyperextended right big toe (out 4 weeks)
2002-11-18,Knicks,, Charlie Ward,strained right lower leg (DNP)
2002-11-18,Raptors,, Lindsey Hunter,sore right knee (DNP)
2002-11-18,Raptors,, Mamadou N'diaye,stress fracture in right foot (DNP)
2002-11-18,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-18,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-11-19,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-19,Grizzlies,, Brevin Knight,sprained right ankle (DNP)
2002-11-19,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-11-19,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-19,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-19,Lakers,, Devean George,right ankle tendinitis (DNP)
2002-11-19,Mavericks,, Evan Eschmeyer,arthroscopic surgery on right knee to repair damaged cartilage (out 4-6 weeks)
2002-11-19,Mavericks,, Evan Eschmeyer,recovering from surgery on right knee (DNP)
2002-11-19,Mavericks,, Ronald Jones / Popeye Jones,back spasms (DNP)
2002-11-19,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-19,Sonics,, Kenny Anderson,back spasms (DNP)
2002-11-20,Bulls,, Fred Hoiberg,ill (DNP)
2002-11-20,Celtics,, Kedrick Brown,DNP
2002-11-20,Grizzlies,, Brevin Knight,sprained right ankle (DNP)
2002-11-20,Hawks,, Dan Dickau,surgery on left knee to repair torn cartilage (out 4-6 weeks)
2002-11-20,Hawks,, Dan Dickau,torn cartilage in left knee (DNP)
2002-11-20,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-20,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-20,Lakers,, Devean George,right ankle injury (DNP)
2002-11-20,Pistons,, Chauncey Billups,sprained right ankle (DNP)
2002-11-20,Raptors,, Lindsey Hunter,sore right knee (DNP)
2002-11-20,Raptors,, Mamadou N'diaye,stress fracture in right knee (DNP)
2002-11-20,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-20,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-11-21,Mavericks,, Evan Eschmeyer,recovering from surgery on right knee (DNP)
2002-11-21,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-21,Sonics,, Kenny Anderson,back spasms (DNP)
2002-11-22,Grizzlies,, Jason Williams,sprained foot (DNP)
2002-11-22,Hornets,, Elden Campbell,left knee injury (DNP)
2002-11-22,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-22,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-22,Knicks,, Charlie Ward,strained right lower leg (DNP)
2002-11-22,Magic,, Grant Hill,sore left ankle (DNP)
2002-11-22,Pistons,, Chauncey Billups,sprained right ankle (DNP)
2002-11-22,Raptors,, Lindsey Hunter,sore right knee (DNP)
2002-11-22,Raptors,, Mamadou N'diaye,stress fracture in right knee (DNP)
2002-11-22,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-22,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-11-23,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-23,Cavaliers,, Tyrone Hill,flu (DNP)
2002-11-23,Celtics,, Kedrick Brown,turf toe (DNP)
2002-11-23,Grizzlies,, Jason Williams,sprained foot (DNP)
2002-11-23,Hawks,, Darvin Ham,strep throat (DNP)
2002-11-23,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-23,Kings,, Predrag Stojakovic / Peja Stojakovic,plantar fasciatis in right foot (DNP)
2002-11-23,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-23,Mavericks,, Evan Eschmeyer,recovering from surgery on right knee (DNP)
2002-11-23,Pistons,, Chauncey Billups,sprained right ankle (DNP)
2002-11-23,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-24,Bucks,, Anthony Mason Sr.,strained left hamstring (DNP)
2002-11-24,Heat,, Malik Allen,bruised sternum (DNP)
2002-11-24,Knicks,, Charlie Ward,bruised right leg (DNP)
2002-11-24,Magic,, Grant Hill,sore left ankle (DNP)
2002-11-24,Magic,, Tracy McGrady,back spasms (DNP)
2002-11-24,Raptors,, Lindsey Hunter,sore right knee (DNP)
2002-11-24,Raptors,, Mamadou N'diaye,stress fracture in right knee (DNP)
2002-11-24,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-24,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-11-24,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-25,Bucks,, Anthony Mason Sr.,strained left hamstring (DNP)
2002-11-25,Nuggets,, Chris Whitney,sprained left ankle (DNP)
2002-11-25,Suns,, Tom Gugliotta,bruised right foot (DNP)
2002-11-26,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-26,Clippers,, Corey Maggette,arthroscopic surgery on right knee to repair torn cartilage (date approximate)
2002-11-26,Hawks,, Theo Ratliff,flu (DNP)
2002-11-26,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-26,Kings,, Predrag Stojakovic / Peja Stojakovic,plantar fasciatis in right foot (DNP)
2002-11-26,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-26,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-26,Wizards,, Larry Hughes,strained right wrist (DNP)
2002-11-27,Bucks,, Anthony Mason Sr.,strained left hamstring (DNP)
2002-11-27,Grizzlies,, Brevin Knight,sprained right ankle (DNP)
2002-11-27,Heat,, Ken Johnson,flu-like symptoms (DNP)
2002-11-27,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-27,Kings,, Predrag Stojakovic / Peja Stojakovic,right heel injury (DNP)
2002-11-27,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-27,Knicks,, Charlie Ward,right leg injury (DNP)
2002-11-27,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-27,Pistons,, Chauncey Billups,sprained right ankle (DNP)
2002-11-27,Raptors,, Jerome Williams,sore left elbow (DNP)
2002-11-27,Raptors,, Lindsey Hunter,sore right knee (DNP)
2002-11-27,Raptors,, Mamadou N'diaye,stress fracture in right heel (DNP)
2002-11-27,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-27,Sonics,, Jerome James,stress fracture in right foot (DNP)
2002-11-27,Suns,, Tom Gugliotta,bruised right foot (DNP)
2002-11-28,Mavericks,, Evan Eschmeyer,strained right knee (DNP)
2002-11-29,Bucks,, Marcus Haislip,sprained right ankle (DNP)
2002-11-29,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-29,Grizzlies,, Brevin Knight,sprained right ankle (DNP)
2002-11-29,Kings,, Hidayet Turkoglu / Hedo Turkoglu,sprained right wrist (DNP)
2002-11-29,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-11-29,Kings,, Predrag Stojakovic / Peja Stojakovic,plantar fasciatis (DNP)
2002-11-29,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-11-29,Lakers,, Robert Horry,sore left foot (DNP)
2002-11-29,Pistons,, Chauncey Billups,sprained right ankle (DNP)
2002-11-29,Raptors,, Jerome Williams,sore left elbow (DNP)
2002-11-29,Raptors,, Lindsey Hunter,sore right knee (DNP)
2002-11-29,Raptors,, Mamadou N'diaye,stress fracture in right heel (DNP)
2002-11-29,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-11-29,Sonics,, Jerome James,plantar fasciaitis in right foot (DNP)
2002-11-29,Suns,, Tom Gugliotta,bruised right foot (DNP)
2002-11-30,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-11-30,Knicks,, Charlie Ward,right leg injury (DNP)
2002-11-30,Mavericks,, Eduardo Najera,sore left knee (DNP)
2002-11-30,Nets,, Dikembe Mutombo,sprained right wrist (DNP)
2002-11-30,Pistons,, Chauncey Billups,sprained right ankle (DNP)
2002-11-30,Suns,, Tom Gugliotta,bruised right foot (DNP)
2002-12-01,Clippers,, Andre Miller,sprained left ankle (DNP)
2002-12-01,Grizzlies,, Brevin Knight,sprained right ankle (DNP)
2002-12-01,Hornets,, Baron Davis,back spasms (DNP)
2002-12-01,Kings,, Mateen Cleaves,recovering from surgery on left foot (DNP)
2002-12-01,Kings,, Predrag Stojakovic / Peja Stojakovic,right heel injury (DNP)
2002-12-01,Kings,, Scot Pollard,stress fracture in lower back (DNP)
2002-12-01,Lakers,, Robert Horry,sore left ankle (DNP)
2002-12-01,Nets,, Dikembe Mutombo,sprained right wrist (DNP)
2002-12-01,Nets,, Kerry Kittles,bruised left knee (DNP)
2002-12-01,Pacers,, Jamaal Tinsley,bruised right thigh (DNP)
2002-12-01,Raptors,, Jerome Williams,sore left elbow (DNP)
2002-12-01,Raptors,, Lindsey Hunter,sore right knee (DNP)
2002-12-01,Raptors,, Mamadou N'diaye,stress fracture in right heel (DNP)
